2024-11-12 15:29:38.537 INFO  [11312] [ProcessCameraCommand@154] command: 14
2024-11-12 15:29:38.537 INFO  [11312] [ProcessCameraCommand@377] Resume: IsCameraOpen = 0, _isPreview = 0
2024-11-12 15:32:24.734 INFO  [11312] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-12 15:32:24.734 INFO  [11312] [ProcessCameraCommand@154] command: 14
2024-11-12 15:32:24.734 INFO  [11312] [ProcessCameraCommand@356] Suspend: IsCameraOpen = 0, _isPreview = 0
2024-11-12 15:32:38.048 INFO  [11312] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-12 15:32:38.048 INFO  [11312] [ProcessCameraCommand@154] command: 14
2024-11-12 15:32:38.048 INFO  [11312] [ProcessCameraCommand@377] Resume: IsCameraOpen = 0, _isPreview = 0
2024-11-12 15:36:12.517 INFO  [10584] [InitLog@108] -------------------------------- create a new logger!
2024-11-12 15:36:12.518 INFO  [10584] [InitLog@109] processName = OmenCommandCenterBackground
2024-11-12 15:36:12.518 INFO  [10584] [InitLog@124] -------------------------------- InitLog(), version = 1101.2411.3.0
2024-11-12 15:36:12.518 INFO  [10584] [InitLog@125] Process Path: C:\Program Files\WindowsApps\AD2F1837.OMENCommandCenter_1101.2411.3.0_x64__v10z8vjag6ke6\OmenCommandCenterApp\OmenCommandCenterBackground.exe
2024-11-12 15:36:12.518 INFO  [10584] [CreatePipeServer@114] enter function: CreatePipeServer()
2024-11-12 15:36:12.518 INFO  [10584] [StartMainThread@560] enter function: StartMainThread()
2024-11-12 15:36:12.518 INFO  [11916] [PipeServerThread@104] enter function: PipeServerThread()
2024-11-12 15:36:12.518 INFO  [11916] [NamedPipeServer::Create@207] NamedPipeServer::Create()
2024-11-12 15:36:12.518 INFO  [6312] [CaptureThread@460] enter function: CaptureThread()
2024-11-12 15:36:12.518 INFO  [11916] [NamedPipeServer::CreateAndConnectInstance@44] NamedPipeServer::CreateAndConnectInstance()
2024-11-12 15:36:12.519 INFO  [6312] [SharedMemory::Init@5] enter function: SharedMemory::Init()
2024-11-12 15:36:12.519 INFO  [11916] [NamedPipeServer::CreateAndConnectInstance@51] pipeName: \\.\pipe\hpvirtualcamera_fte1
2024-11-12 15:36:12.519 INFO  [11916] [NamedPipeServer::ConnectToNewClient@81] NamedPipeServer::CreateAndConnectInstance()
2024-11-12 15:36:12.519 INFO  [11916] [NamedPipeServer::Create@233] WaitForSingleObjectEx()
2024-11-12 15:36:12.519 INFO  [6312] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-12 15:36:12.519 INFO  [6312] [ProcessCameraCommand@154] command: 16
2024-11-12 15:36:12.519 INFO  [6312] [ProcessCameraCommand@389] g_isStore = 1
2024-11-12 15:36:12.598 INFO  [6312] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-12 15:36:12.598 INFO  [6312] [ProcessCameraCommand@154] command: 14
2024-11-12 15:36:16.219 INFO  [6312] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-12 15:36:16.219 INFO  [6312] [ProcessCameraCommand@154] command: 11
2024-11-12 15:36:16.219 INFO  [6312] [ProcessCameraCommand@283] camCmdSetResolution: width = 640, height = 480, fps = 30
2024-11-12 15:36:16.242 INFO  [6312] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-12 15:36:16.242 INFO  [6312] [ProcessCameraCommand@154] command: 2
2024-11-12 15:36:16.242 INFO  [6312] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-12 15:36:16.242 INFO  [6312] [ProcessCameraCommand@154] command: 13
2024-11-13 14:25:54.304 INFO  [12576] [InitLog@108] -------------------------------- create a new logger!
2024-11-13 14:25:54.307 INFO  [12576] [InitLog@109] processName = OmenCommandCenterBackground
2024-11-13 14:25:54.307 INFO  [12576] [InitLog@124] -------------------------------- InitLog(), version = 1101.2411.3.0
2024-11-13 14:25:54.307 INFO  [12576] [InitLog@125] Process Path: C:\Program Files\WindowsApps\AD2F1837.OMENCommandCenter_1101.2411.3.0_x64__v10z8vjag6ke6\OmenCommandCenterApp\OmenCommandCenterBackground.exe
2024-11-13 14:25:54.307 INFO  [12576] [CreatePipeServer@114] enter function: CreatePipeServer()
2024-11-13 14:25:54.307 INFO  [12576] [StartMainThread@560] enter function: StartMainThread()
2024-11-13 14:25:54.308 INFO  [16168] [PipeServerThread@104] enter function: PipeServerThread()
2024-11-13 14:25:54.308 INFO  [16172] [CaptureThread@460] enter function: CaptureThread()
2024-11-13 14:25:54.308 INFO  [16172] [SharedMemory::Init@5] enter function: SharedMemory::Init()
2024-11-13 14:25:54.309 INFO  [16168] [NamedPipeServer::Create@207] NamedPipeServer::Create()
2024-11-13 14:25:54.309 INFO  [16168] [NamedPipeServer::CreateAndConnectInstance@44] NamedPipeServer::CreateAndConnectInstance()
2024-11-13 14:25:54.309 INFO  [16168] [NamedPipeServer::CreateAndConnectInstance@51] pipeName: \\.\pipe\hpvirtualcamera_fte1
2024-11-13 14:25:54.309 INFO  [16168] [NamedPipeServer::ConnectToNewClient@81] NamedPipeServer::CreateAndConnectInstance()
2024-11-13 14:25:54.309 INFO  [16168] [NamedPipeServer::Create@233] WaitForSingleObjectEx()
2024-11-13 14:25:54.311 INFO  [16172] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-13 14:25:54.311 INFO  [16172] [ProcessCameraCommand@154] command: 16
2024-11-13 14:25:54.311 INFO  [16172] [ProcessCameraCommand@389] g_isStore = 1
2024-11-13 14:25:54.347 INFO  [16172] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-13 14:25:54.347 INFO  [16172] [ProcessCameraCommand@154] command: 14
2024-11-13 14:25:59.835 INFO  [16172] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-13 14:25:59.835 INFO  [16172] [ProcessCameraCommand@154] command: 11
2024-11-13 14:25:59.835 INFO  [16172] [ProcessCameraCommand@283] camCmdSetResolution: width = 640, height = 480, fps = 30
2024-11-13 14:25:59.835 INFO  [16172] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-13 14:25:59.835 INFO  [16172] [ProcessCameraCommand@154] command: 2
2024-11-13 14:25:59.835 INFO  [16172] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-13 14:25:59.835 INFO  [16172] [ProcessCameraCommand@154] command: 13
