2025-12-06 20:14:31.766 INFO  [11004] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-06 20:14:31.766 INFO  [11004] [ProcessCameraCommand@154] command: 14
2025-12-06 20:14:31.766 INFO  [11004] [ProcessCameraCommand@377] Resume: IsCameraOpen = 0, _isPreview = 0
2025-12-06 20:34:32.037 INFO  [11004] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-06 20:34:32.037 INFO  [11004] [ProcessCameraCommand@154] command: 14
2025-12-06 20:34:32.037 INFO  [11004] [ProcessCameraCommand@356] Suspend: IsCameraOpen = 0, _isPreview = 0
2025-12-07 17:52:35.499 INFO  [11004] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-07 17:52:35.499 INFO  [11004] [ProcessCameraCommand@154] command: 14
2025-12-07 17:52:35.499 INFO  [11004] [ProcessCameraCommand@377] Resume: IsCameraOpen = 0, _isPreview = 0
2025-12-07 20:03:05.940 INFO  [11004] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-07 20:03:05.941 INFO  [11004] [ProcessCameraCommand@154] command: 14
2025-12-07 20:03:05.941 INFO  [11004] [ProcessCameraCommand@356] Suspend: IsCameraOpen = 0, _isPreview = 0
2025-12-07 20:03:21.432 INFO  [11004] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-07 20:03:21.432 INFO  [11004] [ProcessCameraCommand@154] command: 14
2025-12-07 22:00:11.258 INFO  [11004] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-07 22:00:11.258 INFO  [11004] [ProcessCameraCommand@154] command: 14
2025-12-07 22:00:11.258 INFO  [11004] [ProcessCameraCommand@377] Resume: IsCameraOpen = 0, _isPreview = 0
2025-12-07 23:18:02.325 INFO  [11004] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-07 23:18:02.326 INFO  [11004] [ProcessCameraCommand@154] command: 14
2025-12-07 23:18:02.326 INFO  [11004] [ProcessCameraCommand@356] Suspend: IsCameraOpen = 0, _isPreview = 0
2025-12-07 23:18:17.804 INFO  [11004] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-07 23:18:17.804 INFO  [11004] [ProcessCameraCommand@154] command: 14
2025-12-08 00:04:27.196 INFO  [11004] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-08 00:04:27.196 INFO  [11004] [ProcessCameraCommand@154] command: 14
2025-12-08 00:04:27.196 INFO  [11004] [ProcessCameraCommand@377] Resume: IsCameraOpen = 0, _isPreview = 0
2025-12-08 12:52:15.915 INFO  [26496] [InitLog@123] -------------------------------- create a new logger!
2025-12-08 12:52:15.919 INFO  [26496] [InitLog@124] processName = OmenCommandCenterBackground
2025-12-08 12:52:15.919 INFO  [26496] [InitLog@139] -------------------------------- InitLog(), version = 1101.2511.2.0
2025-12-08 12:52:15.919 INFO  [26496] [InitLog@140] Process Path: C:\Program Files\WindowsApps\AD2F1837.OMENCommandCenter_1101.2511.2.0_x64__v10z8vjag6ke6\OmenCommandCenterApp\OmenCommandCenterBackground.exe
2025-12-08 12:52:15.919 INFO  [26496] [CreatePipeServer@114] enter function: CreatePipeServer()
2025-12-08 12:52:15.919 INFO  [26496] [StartMainThread@575] enter function: StartMainThread()
2025-12-08 12:52:15.923 INFO  [17092] [PipeServerThread@104] enter function: PipeServerThread()
2025-12-08 12:52:15.923 INFO  [26072] [CaptureThread@462] enter function: CaptureThread()
2025-12-08 12:52:15.924 INFO  [26072] [SharedMemory::Init@5] enter function: SharedMemory::Init()
2025-12-08 12:52:15.923 INFO  [17092] [NamedPipeServer::Create@207] NamedPipeServer::Create()
2025-12-08 12:52:15.925 INFO  [17092] [NamedPipeServer::CreateAndConnectInstance@44] NamedPipeServer::CreateAndConnectInstance()
2025-12-08 12:52:15.925 INFO  [17092] [NamedPipeServer::CreateAndConnectInstance@51] pipeName: \\.\pipe\hpvirtualcamera_fte5
2025-12-08 12:52:15.925 INFO  [17092] [NamedPipeServer::ConnectToNewClient@81] NamedPipeServer::CreateAndConnectInstance()
2025-12-08 12:52:15.925 INFO  [17092] [NamedPipeServer::Create@233] WaitForSingleObjectEx()
2025-12-08 12:52:15.925 INFO  [26072] [CaptureThread@476] CreateMutex(mutex_getNvVfxLib_vcam)
2025-12-08 12:52:15.925 INFO  [26072] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-08 12:52:15.925 INFO  [26072] [ProcessCameraCommand@154] command: 16
